text,Date,Open,High,Low,Close,Volume,SMA_5,SMA_30,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist,RSI_14,BB_upper,BB_lower,BB_width,BB_pct,Stoch_%K,Stoch_%D,ATR_14,OBV,ROC_10,Close_lag1,Close_lag5,Volume_lag1,Return_1d,Volatility_5d,Volatility_21d,Volatility_63d,MA_ratio_3,Return_7d,MA_ratio_7,Return_14d,MA_ratio_14,MA_ratio_21,RSI_9,RSI_50,DayOfWeek,DayOfMonth,Month,Quarter,WeekOfYear,MonthEnd,Weekly_Return,Weekly_Return,Future_Close,Weekly_Return,Weekly_Return,label
"MSFT traded at $-1.22 on January 01, 1970. Day range: $-1.22 to $-1.22. RSI indicates the stock may be oversold. Outlook: Mild bearish pressure in the short term.",1970-01-01 00:00:00.000000063,-1.2235557544959272,-1.217201167106637,-1.221221026616297,-1.215378182438104,0.8133609813042436,-1.2194472317377079,-1.2026673566796613,-1.2145064704590591,-1.2071484088253117,-0.5018754517789724,-0.5209584671889009,-0.05658835991861099,-0.421278555332735,-1.2140254997136488,-1.2033822457146048,-0.3810806306289397,-0.5015256705602931,-0.5269125193289148,-1.5109366502096362,-1.1423155983210915,-1.3429104744467908,-0.9469576083429146,-1.2235798871189434,-1.2162630049387562,0.6792866534503538,-0.09669312618342844,0.2110376622033568,-0.09932549382943426,0.3511650025124056,1.3398963713514078,-0.1522675739067123,0.6163820268292836,-0.31027702236888927,-0.3124671531274664,-0.41825701424824263,-1.1692955461527508,-2.13153793638159,0.0,0.0,0.0,0.0,0.0,0.0,-0.01754686373969262,-0.01754686373969262,36.04193878173828,-0.01754686373969262,-0.01754686373969262,1
"MSFT remained stable $-1.22 on January 01, 1970. Day range: $-1.21 to $-1.22. RSI indicates the stock may be oversold. Trading volume was significantly lower than previous day. Outlook: Significant downward pressure expected.",1970-01-01 00:00:00.000000064,-1.214614044620787,-1.2162938472557758,-1.213188847669806,-1.2155190871550117,0.012534067941622012,-1.2186434952949416,-1.2032884713994731,-1.214311835835862,-1.207354796026201,-0.48675947402758896,-0.5210333209139115,-0.010631731261318477,-0.5127803214475433,-1.2151033050878246,-1.203177047662161,-0.469438498276014,-0.461184719901535,-0.5497502376808123,-1.106859496487858,-1.1440252109693207,-1.367435093158488,-0.9472949056732527,-1.214703967674589,-1.2163336626388543,0.8127969246313109,-0.22360823890616247,0.21220209050012426,-0.15784279800624393,0.3471749169555402,0.7403552246102475,-0.005632946065744653,0.5364620606935344,-0.3845117634822877,-0.3190414889288555,-0.4049875728914336,-1.2120012497809003,-2.151866627178216,0.0,0.0,0.0,0.0,0.0,0.0,-0.08287932533749146,-0.08287932533749146,35.9470100402832,-0.08287932533749146,-0.08287932533749146,1
"MSFT remained stable $-1.22 on January 01, 1970. Day range: $-1.22 to $-1.22. RSI indicates the stock may be oversold. Trading volume was significantly lower than previous day. Outlook: Strong bullish trend expected in the next week.",1970-01-01 00:00:00.000000065,-1.215669936817386,-1.2178292248987703,-1.2151078275630431,-1.2162933162532148,-0.2993595745114275,-1.217571813464866,-1.2039214325829224,-1.214266761978293,-1.2076037726224196,-0.4756937422683177,-0.5187070032023465,0.01632754134899732,-1.1178605047770476,-1.2153758348320112,-1.2033308426053562,-0.477911234647967,-0.5465896214884086,-0.6752366406391185,-0.6374526969863606,-1.1621893629025266,-1.388506955009763,-1.0248169127116453,-1.2148449486909674,-1.2184518955986865,0.011958301684736671,0.016371240143652842,0.15261227071771394,-0.19486677687975618,0.33500442161203864,-0.2484987274685191,0.0787517710823725,0.3261056474161778,-0.7972849904940253,-0.34657995514145506,-0.4339186262581736,-0.3705064975867513,-2.139615541927208,0.0,0.0,0.0,0.0,0.0,0.0,0.4421085884834282,0.4421085884834282,36.473487854003906,0.4421085884834282,0.4421085884834282,1
"MSFT remained stable $-1.22 on January 01, 1970. Day range: $-1.21 to $-1.22. RSI indicates the stock may be oversold. Outlook: Strong bullish trend expected in the next week.",1970-01-01 00:00:00.000000066,-1.2171486287165494,-1.2183179573004035,-1.2136152460115446,-1.2158710066434193,-0.22473117707536128,-1.216500156564581,-1.2045164664318333,-1.214163376499221,-1.2078027368402546,-0.4643051168221324,-0.5143901199467812,0.03867671572778995,-0.9586809323272322,-1.2156148505670568,-1.2034396892695745,-0.48711481677177365,-0.45656568325450453,-0.6067890532377048,-0.6665295644886396,-1.1621893625536537,-1.3666089342499477,-0.24252871145856178,-1.2156195970318444,-1.2180282302811811,-0.2999399012354121,0.27050724590517095,0.15271286684890134,-0.27145753772206976,0.3217956243393285,-0.08048481449942674,0.12361351755187087,0.3080867431769465,-0.67620453385348,-0.24827310212854875,-0.3747741730620174,-0.052815815257408374,-1.0186723143719425,0.0,0.0,0.0,0.0,0.0,0.0,0.3247872492007396,0.3247872492007396,36.38718032836914,0.3247872492007396,0.3247872492007396,1
"MSFT remained stable $-1.21 on January 01, 1970. Day range: $-1.21 to $-1.22. RSI indicates the stock may be oversold. Trading volume was significantly lower than previous day. Outlook: Significant downward pressure expected.",1970-01-01 00:00:00.000000067,-1.2144731619583105,-1.2160145763533552,-1.2124779750258727,-1.2141813014262437,-0.04801451540836101,-1.214483729164742,-1.2050711975762194,-1.2138148401176068,-1.2078606494037787,-0.4489565240363657,-0.5076268618033588,0.06614351235219947,-1.254065551035553,-1.2155198251033583,-1.2030231927514725,-0.5087004584539732,-0.2346186346314286,-0.33292304864634376,-0.587599556663737,-1.1653947221220056,-1.3427546066506508,0.02343650465045618,-1.2151970587426948,-1.221064576413048,-0.22531041259290607,-0.012306576316919723,-0.06094829883798136,-0.26240097244141874,0.2576560220439106,0.2754057291553933,0.4741954123585891,0.41216747002106335,-0.8290334793491383,0.021998956866356792,-0.20128189576596997,0.4436547385489358,-0.44729910802466644,0.0,0.0,0.0,0.0,0.0,0.0,-0.2424856022913505,-0.2424856022913505,35.921112060546875,-0.2424856022913505,-0.2424856022913505,0
"MSFT remained stable $-1.21 on January 01, 1970. Day range: $-1.21 to $-1.22. RSI indicates the stock may be oversold. Trading volume was significantly lower than previous day. Outlook: Strong bullish trend expected in the next week.",1970-01-01 00:00:00.000000068,-1.216092549179597,-1.2152467797875788,-1.2126201522776971,-1.2138997098221584,0.12536482276690789,-1.2141876193467187,-1.205566666016123,-1.2134764193307659,-1.207893221825648,-0.4349430724152404,-0.4991944119368114,0.08488444605528689,-1.2071786165365403,-1.2154064507607594,-1.2028652170732237,-0.511517696711307,-0.21152865784802458,-0.28728291760254504,-0.44637561454036684,-1.1585564804641104,-1.3169809173912965,0.17788664714603367,-1.213506438555344,-1.2121676047454362,-0.0485911669985289,-0.22278478538832516,-1.136520263813254,-0.39821722986415864,0.25500858778595453,0.12709082278294415,0.4603106298100212,0.28091613591975234,-0.8021997255783314,0.12194756764908327,-0.19809835241830023,0.48552679193705167,-0.7155006723564581,0.0,0.0,0.0,0.0,0.0,0.0,0.6612456747850147,0.6612456747850147,37.034481048583984,0.6612456747850147,0.6612456747850147,1
"MSFT remained stable $-1.21 on January 01, 1970. Day range: $-1.21 to $-1.22. RSI indicates the stock may be oversold. Trading volume was significantly lower than previous day. Outlook: Strong bullish trend expected in the next week.",1970-01-01 00:00:00.000000069,-1.2132761978916533,-1.2154561450431867,-1.212620098637215,-1.2146740945130259,-0.338500073527355,-1.2140183834645315,-1.2060953183852148,-1.2133097042965877,-1.2079812704429607,-0.4253321145069175,-0.49037595698346964,0.08921833750732724,-1.3013135488759957,-1.2153776137589496,-1.2028299894921324,-0.5118991797983713,-0.33639344506087354,-0.2636704274942145,-0.3214726633219279,-1.1538551549130123,-1.3376194820921883,0.12340395694096162,-1.2132246944702718,-1.2123089201456323,0.12479070630621948,0.7896042231543798,-1.0981668819159813,-0.4127729546386493,0.2465655018858505,-0.20758204347875625,0.6756690298355774,-0.08154829939467796,-0.8693773287609935,0.10532341334463396,-0.2824916466226902,0.7622195201283811,-0.12432943798309763,0.0,0.0,0.0,0.0,0.0,0.0,0.5474611699182853,0.5474611699182853,36.80145263671875,0.5474611699182853,0.5474611699182853,1
"MSFT remained stable $-1.21 on January 01, 1970. Day range: $-1.21 to $-1.21. RSI indicates the stock may be oversold. Trading volume was significantly lower than previous day. Outlook: Strong bullish trend expected in the next week.",1970-01-01 00:00:00.000000070,-1.2135577891557645,-1.212454686252833,-1.210558668030678,-1.2103793324338337,-0.10018134160169158,-1.2128339254950957,-1.2063371209909215,-1.2125051048550923,-1.2077417428893418,-0.40393415781998476,-0.4787069641423634,0.1212228944630219,0.27693127247472643,-1.2150089587147923,-1.2028193907502445,-0.48708276531786265,0.2869357030162394,1.0242371142481956,0.1725643749015548,-1.1683863754805113,-1.3143426570210255,0.626681976387318,-1.2139994984880664,-1.213085405825156,-0.3390809725584781,-0.20711056775418452,-0.7838792897758369,-0.36508075198693873,0.2638327619182989,0.6519846359833766,0.23875854550439649,0.5192244257024353,0.06772921443735468,0.5689419049613647,0.11318900395659641,1.0450855080146042,-0.22043119790532695,0.0,0.0,0.0,0.0,0.0,0.0,0.35136323926775836,0.35136323926775836,37.1035270690918,0.35136323926775836,0.35136323926775836,1
"MSFT remained stable $-1.21 on January 01, 1970. Day range: $-1.21 to $-1.21. RSI indicates the stock may be oversold. Trading volume was significantly higher than previous day. Outlook: Strong bullish trend expected in the next week.",1970-01-01 00:00:00.000000071,-1.2122200345357534,-1.2132922936928592,-1.2095635367609605,-1.2110833892403787,-0.4718930472855663,-1.211875057199066,-1.2065504799293802,-1.2119330654299816,-1.2075725897384564,-0.388678094128729,-0.46608197118985084,0.1319564336124186,0.4411518943483717,-1.2153434894704904,-1.2027037912791378,-0.5180584816498055,0.21021253896046085,0.8755009359591174,0.5958440340115683,-1.1720192356089811,-1.3335045211978112,0.5375141604984389,-1.2097024108084253,-1.2126618653445767,-0.10075875596821057,-0.8189032809927794,-0.727229590491245,-0.36439083473649975,0.259951722767988,0.18495783237618751,0.18848720252284007,0.29373697963477174,0.14041674220762093,0.4269416937207831,0.029367462277649765,1.556634064134294,-0.38384750312613086,0.0,0.0,0.0,0.0,0.0,0.0,0.6748190690584024,0.6748190690584024,37.40559005737305,0.6748190690584024,0.6748190690584024,1
"MSFT remained stable $-1.21 on January 01, 1970. Day range: $-1.21 to $-1.22. RSI indicates the stock may be oversold. Trading volume was significantly lower than previous day. Outlook: Strong bullish trend expected in the next week.",1970-01-01 00:00:00.000000072,-1.214191536441092,-1.2174803600292439,-1.2142550095119542,-1.2148853582327888,1.0566549397256448,-1.2120160663260633,-1.2069037069813715,-1.2120364293151742,-1.2077001818564304,-0.38778618881812765,-0.45578964747129436,0.10576627291418693,0.12534510179662597,-1.2157863049192286,-1.2027145606172804,-0.5480408163914107,-0.3440984931919225,0.07231242524863302,0.7181494022364469,-1.1634711942881126,-1.3695878734406186,0.48489975954403075,-1.2104068488595645,-1.2109672352837866,-0.4724758967708997,1.7474542909893964,-0.4594991966256166,-0.4204899077116468,0.26349447538757803,-0.8707124217124573,-0.08261788786927973,-0.3765228490204577,0.001344507284344101,-0.06472668164397238,-0.312250232415525,-0.23358099093378812,-0.7021900613996543,0.0,0.0,0.0,0.0,0.0,0.0,4.363355382440036,4.363355382440036,41.31532669067383,4.363355382440036,4.363355382440036,1
