text,Date,Open,High,Low,Close,Volume,SMA_5,SMA_30,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist,RSI_14,BB_upper,BB_lower,BB_width,BB_pct,Stoch_%K,Stoch_%D,ATR_14,OBV,ROC_10,Close_lag1,Close_lag5,Volume_lag1,Return_1d,Volatility_5d,Volatility_21d,Volatility_63d,MA_ratio_3,Return_7d,MA_ratio_7,Return_14d,MA_ratio_14,MA_ratio_21,RSI_9,RSI_50,DayOfWeek,DayOfMonth,Month,Quarter,WeekOfYear,MonthEnd,Future_Close,Weekly_Return,label
"NVAX traded at $1.29 on January 01, 1970. Day range: $1.35 to $1.26. RSI indicates the stock may be oversold. Outlook: Strong bullish trend expected in the next week.",1970-01-01 00:00:00.000000063,1.3141903586704562,1.2555517532916853,1.352096410078601,1.2853212477457678,-0.5317977961680393,1.3958905985290007,1.6068098761040162,1.4670090419118624,1.529072111726511,-0.4803103089663157,0.028295474744131993,-1.5028196569992043,-0.9091274707228963,1.4475984323697866,1.6960626650547204,-0.3499618989411895,-1.08736954252115,-0.8669428977823627,-0.637724933661791,0.7871552976541024,-0.9054624660084802,-0.7490693215971349,1.3209300246448799,1.3948364104844957,-0.523867023646629,0.32792814508184526,-0.3219504954631883,-0.5153182596119692,-1.0539177672010676,-0.4497525114634706,-0.15160656535370787,-0.34525639844775347,-0.6012550341402592,-0.6424813002023559,-0.5760586642782386,-0.9309062647220426,0.37445070258235563,0.0,0.0,0.0,0.0,0.0,0.0,166.39999389648438,0.06530087802512581,1
"NVAX surged strongly $1.34 on January 01, 1970. Day range: $1.40 to $1.31. RSI indicates the stock may be oversold. Outlook: Slight upward movement may continue.",1970-01-01 00:00:00.000000064,1.3170167571105353,1.312880245623048,1.3990721856859636,1.341896488355412,-0.5344813566722526,1.360137997019081,1.5926316144841117,1.4492767777779663,1.5164626350268369,-0.5346546695954477,-0.09283826991773254,-1.331146318724508,-0.75653805722773,1.4498172346470721,1.6656011890473392,-0.3162282580290574,-0.784279994486522,-0.6008775551216641,-0.7762718280828357,0.8175258347400369,-0.9048162278114429,-0.6619460275882968,1.2841643160932676,1.513479890909,-0.5316585700445532,0.2508733567823049,-0.5168785165848848,-0.5033625768862864,-1.0519155505004119,0.21807398075541407,0.20070214257782507,-0.17691265872144235,-0.5408082372724453,-0.42302746061142593,-0.43873527936246776,-0.6509812053486909,0.45912291367112745,0.0,0.0,0.0,0.0,0.0,0.0,163.8000030517578,0.022471948639791323,1
"NVAX surged strongly $1.39 on January 01, 1970. Day range: $1.43 to $1.33. RSI indicates the stock may be oversold. Outlook: Slight upward movement may continue.",1970-01-01 00:00:00.000000065,1.3481051993360584,1.3319896736411208,1.4343041853901108,1.3871566376796443,-0.5375512490423667,1.3544629836554058,1.581710521864335,1.4413137387226753,1.508212442145404,-0.5325568284049423,-0.18929231537856137,-1.0598387971906544,-0.6613320909446767,1.444963515382325,1.643228570026125,-0.2984632329721592,-0.5517099957550748,-0.38802548398485226,-0.6663900848811745,0.7918276057117261,-0.904256783649628,-0.4969925760218751,1.3407268118534106,1.40896061895039,-0.5343420118426201,0.011126569564546105,-0.5512255893183508,-0.49539970956273205,-1.0557599375848823,0.40348223334389527,-0.08288627581207525,0.022887109356857626,-0.4994475916359623,-0.23513077934461837,-0.32834212849685435,0.2754144440606959,0.42830242570821153,0.0,0.0,0.0,0.0,0.0,0.0,165.39999389648438,0.012239902537983087,1
"NVAX remained stable $1.39 on January 01, 1970. Day range: $1.41 to $1.34. RSI indicates the stock may be oversold. Outlook: Slight upward movement may continue.",1970-01-01 00:00:00.000000066,1.3848460071938848,1.3429094360559384,1.410816185587346,1.3928142912310582,-0.5412210310084765,1.3482204776147462,1.5707894292445583,1.43545595163868,1.5010015409340356,-0.5193186714077092,-0.2635972673376917,-0.8163505920380071,-0.8397889524498575,1.4386798061341275,1.623680645071787,-0.28507510498976424,-0.47938143226000457,-0.36141834074354146,-0.484845828123593,0.7591209145969798,-0.903801093999967,0.033354256311818584,1.3859767653077655,1.417435230237254,-0.5374117684173637,0.24486822978767359,-0.5523769265943187,-0.5079350014677435,-1.0592947025059296,0.16131587199865854,-0.2905769871330769,0.12459415249067479,-0.5593206903987988,-0.13913920126312015,-0.29460309798199136,0.7253120001860667,0.3378162484302453,0.0,0.0,0.0,0.0,0.0,0.0,164.60000610351562,0.004884023424010719,1
"NVAX surged strongly $1.44 on January 01, 1970. Day range: $1.48 to $1.37. RSI indicates the stock may be oversold. Outlook: Significant downward pressure expected.",1970-01-01 00:00:00.000000067,1.3989771368985706,1.3729386264888288,1.4754078490476987,1.4380744405552903,-0.5417126586996325,1.371488023746431,1.5615927223627577,1.4375405470102285,1.497750029060293,-0.46444633348073744,-0.3111936017735112,-0.5227388764000378,-0.6504720817875339,1.423192947946144,1.613999832500673,-0.2922457170560925,-0.2617170482443089,-0.007042151170488866,-0.27158733148764186,0.7240780694534218,-0.9033593039747871,0.3123579608558133,1.3916331443450585,1.315740972386477,-0.5410813880522445,-0.07150510399504807,-0.7824901190937354,-0.5002332683426151,-1.057932397010881,0.2611533446492021,-0.011747361071805936,0.3033457466150379,-0.47183866111895645,0.05256969595042955,-0.18148079614034582,0.27578976681627637,0.4964964432103335,0.0,0.0,0.0,0.0,0.0,0.0,161.39999389648438,-0.03353297067973428,0
"NVAX decreased $1.43 on January 01, 1970. Day range: $1.51 to $1.42. RSI indicates the stock may be oversold. Outlook: Mild bearish pressure in the short term.",1970-01-01 00:00:00.000000068,1.4441969244527069,1.4166176761481,1.507703904776042,1.4295880681368773,-0.5390676572300197,1.4004305832417914,1.5536413986838176,1.4379841986294777,1.4940971286772156,-0.4224430828496207,-0.3402016398149847,-0.3183950315579159,-0.6504720817875339,1.4060304747853865,1.605768284864107,-0.3029189914135035,-0.24718567968177593,-0.05119812529590829,-0.15062570531661526,0.7240780694534218,-0.9038758752375609,-0.019098686342581456,1.4368830977994131,1.2790179441678242,-0.5415729939964606,-0.2360888879474273,-0.8789292517659388,-0.5173363053955257,-1.0806339879915672,0.08608236974235417,-0.04454379381750512,0.2636915723778641,-0.47309222668627793,0.09856933365288785,-0.17286290834236478,-0.40354088200970245,0.3853670179138259,0.0,0.0,0.0,0.0,0.0,0.0,165.8000030517578,-0.003605714343353944,0
"NVAX fell sharply $1.39 on January 01, 1970. Day range: $1.45 to $1.37. RSI indicates the stock may be oversold. Outlook: Slight upward movement may continue.",1970-01-01 00:00:00.000000069,1.4215870306756389,1.3729386264888288,1.4519200732431008,1.3928142912310582,-0.5375957402361365,1.410645624615173,1.5466480727662204,1.4326386484828977,1.4879318062412685,-0.4146130966895428,-0.3617174778663928,-0.2360321877654227,-0.5695758456518383,1.382099390133223,1.5989057931785935,-0.32289675924379013,-0.33561171966465553,0.33700331060845157,0.10019186196600241,0.6843627380151133,-0.9044340615148072,-0.25725853162632456,1.4283986371278725,1.3355147780314023,-0.5389281095273518,0.1112537461130772,-0.822071418748137,-0.5158213742061536,-1.0783360097237191,-0.19598021588326936,0.08673551795563844,0.06399348657877944,-0.428954282587375,0.056128550203452345,-0.22078750552712212,-0.04303309847954132,0.344686167008149,0.0,0.0,0.0,0.0,0.0,0.0,168.39999389648438,0.02808297166681401,1
"NVAX surged strongly $1.42 on January 01, 1970. Day range: $1.50 to $1.36. RSI indicates the stock may be oversold. Outlook: Slight upward movement may continue.",1970-01-01 00:00:00.000000070,1.4215870306756389,1.364748960885574,1.4959599048746597,1.4154442579844664,-0.5384877886712204,1.4163206379788484,1.5437741014088524,1.4316360661003635,1.483935790443273,-0.3840609531020077,-0.37233355667378143,-0.11620954966428484,0.3874761999042795,1.3542757672658225,1.5999257965843805,-0.3560467475268184,-0.19001761340785264,0.6009369569243292,0.31852965340732886,0.41570092524783625,-0.9039010958231581,-0.06419404366539297,1.3916331443450585,1.3807122020186011,-0.5374562576430847,-0.0885191858088906,-0.8644091347408825,-0.5174181165207695,-1.089233516716716,0.03552584090683547,0.21050257547193968,0.0805799714806462,0.0401571640825624,0.10308859428181377,-0.14091942707724314,0.05542533570084837,0.42745648435004663,0.0,0.0,0.0,0.0,0.0,0.0,170.1999969482422,0.029020575749004535,1
"NVAX decreased $1.40 on January 01, 1970. Day range: $1.48 to $1.37. RSI indicates the stock may be oversold. Outlook: Strong bullish trend expected in the next week.",1970-01-01 00:00:00.000000071,1.4046297181548013,1.3674788494199923,1.4842159049732773,1.40412938251647,-0.5376580279074141,1.4185906519837017,1.538026158694116,1.429027456231902,1.479379475938366,-0.3643890580046723,-0.37657901042590397,-0.04617634219743034,0.7895409221213682,1.3207517565479254,1.6066443141216111,-0.4024237311114471,-0.1795672701197819,0.1064130171062165,0.3751310534890852,0.3152446978747862,-0.9044575210620087,-0.09545639850452523,1.4142580131878368,1.3863620147159494,-0.5383482666187891,-0.2882896215466263,-0.8560160737885658,-0.5182766719786848,-1.12234228944646,0.013759482542674104,0.06858349950031212,-0.004269257682248632,0.1937286084632912,0.034384227311492474,-0.13153963199959978,0.8273146042190355,0.5376624333484884,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.05103276783113657,1
"NVAX fell sharply $1.36 on January 01, 1970. Day range: $1.41 to $1.33. RSI indicates the stock may be oversold. Outlook: Strong bullish trend expected in the next week.",1970-01-01 00:00:00.000000072,1.3848460071938848,1.326529896572284,1.410816185587346,1.3588690173748221,-0.5059054044338258,1.4027005972466449,1.5296916373724159,1.419778952940952,1.4717354013715724,-0.3818006317041321,-0.38373475093468223,-0.07816954764411352,-0.06030942865787403,1.265885826847801,1.631198729181912,-0.49415905558984213,-0.32942100844290506,-0.4993969908834984,0.07476251753582104,0.2171248027676752,-0.9059116775526138,-0.003502952438145525,1.4029456866508465,1.4315594387031483,-0.5375185425590939,0.3505435305353073,-0.9029492923090175,-0.5171689567456347,-1.1447365411956303,-0.2496810092745613,-0.11068565940567562,-0.17718050321335077,-0.1295068739404843,-0.08357739586112799,-0.19014435694830117,0.7335351243277168,0.33574727415943445,0.0,0.0,0.0,0.0,0.0,0.0,171.60000610351562,0.06319710404433558,1
